Horse,HighestLevel,CDI,USDFNumber,Sire,Damsire,Country,Breeder,Studbook,InternationalTeam,TeamMade,AverageGP,FirstYear,LastYear
MW Feinermark,Grand Prix,Yes,1091745,Fidertanz,Flemmingh,Germany,Ludger Holthaus,Oldenburg,No,NULL,66.99,2014,2023
Grandioso,I-A,Yes,1133212,Uphill,Donnerhall,Netherlands,H.J.F.M. Van Giersbergen,KWPN,No,NULL,NULL,2018,2023
Damon's Design HW,Grand Prix,Yes,1107878,Damon Hill,Florencio I,Germany,Hans and Britta Scherbring,Oldenburg,No,NULL,65.792,2014,2023
Servus Ymas,Grand Prix,Yes,1134446,San Amour,Depardieu,Germany,Herr Barth,Hanoverian,No,NULL,68.031,2019,2024
Ion SWF,Prix St. Georges,No,1104889,Lingh,De Kooning,USA,Southernwood Farm,KWPN,No,NULL,NULL,2017,2024
WEC's Senor Rubinstein,Grand Prix,Yes,1124842,Sir Donnerhall II,Rubinstein,Germany,Franz-Josef Wieghaus-Vorwerk,Oldenburg,No,NULL,66.142,2017,2024
MW Ave Maria,I-2,No,1104760,Voice,Fidertanz,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2017,2023
Reine Noire GWF,I-2,Yes,1130492,Rotspon,Cor Noir,USA,Gateway Farm,Oldenburg,No,NULL,NULL,2018,2024
Idano,Third Level,No,1135422,Bretton Woods,Sandro Hit,Germany,NULL,Oldenburg,No,NULL,NULL,2019,2019
Santa Barbara DASH,I-2,Yes,1126753,San City,Baroncelli,USA,Katie Bryant,Oldenburg,No,NULL,NULL,2017,2024
Fontaine MF,Prix St. Georges,No,1103175,Fidertanz,De Niro,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2017,2024
MW Cilla Amour,Prix St. Georges,No,1104928,San Amour,De Niro,Germany,Margaret Strohm,Oldenburg,No,NULL,NULL,2019,2020
Jida Selly A,I-2,Yes,1136218,Zardando,Wynton,Netherlands,A. Adriaansen,KWPN,No,NULL,NULL,2019,2024
Spirit of Joy,I-2,No,1135952,Sir Calypso,Sandro Bedo,Germany,Gertmann and Brigitte Sude,Westfalen,No,NULL,NULL,2019,2023
Floris King,FEI 5 Year Old,No,1131719,Floriscount,Hochadel,Germany,NULL,Hanoverian,No,NULL,NULL,2018,2019
Jagger DG,Prix St. Georges,Yes,1130221,Idocus,Flemmingh,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2018,2024
Heirendale SBF,I-2,No,1136700,Hotline,Rabino,USA,Claudia Novick,Hanoverian,No,NULL,NULL,2019,2024
Jjaguar B,I-2,No,1129403,Spielberg,Uphill,Netherlands,J. Jansen,KWPN,No,NULL,NULL,2018,2024
Fabulous Lady,FEI 5 Year Old,No,1136425,Furstenball,Samarant,Germany,NULL,Hanoverian,No,NULL,NULL,2019,2019
Jett MVS,I-2,Yes,1130539,Bretton Woods,Flemmingh,USA,Jackie Ahl-Eckhaus,KWPN,No,NULL,NULL,2018,2024
Sonnenberg's Kain,Fourth Level,No,1136254,El Capone,Carlton Hill VDL,Netherlands,G. Talsma,KWPN,No,NULL,NULL,2019,2024
Summersby II,I-2,No,1133414,Sezuan,Sandro Hit,Germany,Nicole Wanning,Oldenburg,No,NULL,NULL,2019,2024
Kitalis MVS,First Level,No,1137003,Vitalis,Westpoint,USA,Jackie Ahl-Eckhaus,KWPN,No,NULL,NULL,2019,2020
Leon De Matecana,Prix St. Georges,Yes,1134600,Dragon Comando,Solar dos Pinhais,Colombia,Samuel Cabrera,PSL,No,NULL,NULL,2019,2022
Kasanova DG,Fourth Level,No,1137214,Negro,Belissimo M,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2019,2024
Kayenne CWS,Prix St. Georges,No,1134245,Negro,OO Seven,USA,Craig Stanley,KWPN,No,NULL,NULL,2018,2024
Fellini CF,FEI 7 Year Old,No,1136134,Finest,Rubinstein,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2019,2022
Karmelo R,Prix St. Georges,No,1131185,Sir Donnerhall I,Don Romantic,USA,Michele Seaver,KWPN,No,NULL,NULL,2019,2024
Royal Heiress,Second Level,No,1130730,Rock Solid,Hofrat,USA,Robert Jackson,Oldenburg,No,NULL,NULL,2019,2020
Koning DG,Prix St. Georges,No,1135949,Bordeaux,Jazz,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2019,2024
Francisco,Prix St. Georges,No,1132814,Furstenball,Royal Prince,USA,Holly Reimers,Oldenburg,No,NULL,NULL,2019,2024
Killian TF,Fourth Level,No,1124195,Uno Don Diego,Westpoint,USA,Timbach Farm,KWPN,No,NULL,NULL,2019,2024
Finch Hatton EDI,Prix St. Georges,No,1134827,For Romance,Latimer,Germany,Dr. Alexandra Woerner,Oldenburg,No,NULL,NULL,2019,2024
Knockout SSF,First Level,No,1129356,Eye Catcher,Bon Bravour,USA,Carroll and Scot Tolman,KWPN,No,NULL,NULL,2019,2023
Gronskovlunds Romeeo,I-2,No,1131590,Skovens Rafael,Rotspon,Denmark,Kim Viberg Jensen,Danish Warmblood,No,NULL,NULL,2018,2022
Friend,Grand Prix,Yes,1120308,Rousseau,Tango,Netherlands,E.T. Ten Bosch,KWPN,No,NULL,65.429,2016,2024
Sundance,Grand Prix,No,1104788,San Bernadino,Brentano II,Germany,Hermann Stroot,Hanoverian,No,NULL,61.658,2014,2024
Fire Fly,Grand Prix,Yes,1132642,Briar Junior,OO Seven,Netherlands,Anton Geessink,KWPN,Yes,Pan American Games,68.065,2019,2024
Bardolino,Grand Prix,Yes,1134488,Bordeaux,Donnerhall,Germany,Clemens Merveldt,Oldenburg,No,NULL,67.406,2019,2023
Stenagers Wyatt Earp,Grand Prix,Yes,1135170,Wilkens,Sandro Hit,Denmark,Bjarne and May-Britt Christensen,Danish Warmblood,No,NULL,67.771,2019,2024
Fashion Week,I-1,Yes,1134979,Furst Romancier,Donnerball,Germany,Martin Otten-Willers,Hanoverian,No,NULL,NULL,2019,2023
Harvard,Grand Prix,Yes,1129504,Charmeur,Tuschinski,Netherlands,M.A. de Groot,KWPN,No,NULL,67.187,2018,2024
Imposant MC,Grand Prix,Yes,1139755,Bretton Woods,Jetset-D,Netherlands,M.C.V.D.Spek,KWPN,No,NULL,65.743,2019,2024
Dehavilland,Prix St. Georges,No,1112032,Diamond Hit,Hohenstein,USA,Red Hawk Ranch,Oldenburg,No,NULL,NULL,2015,2024
Venivici,I-2,Yes,1113029,Vitalis,Sherlock Holmes,Germany,Karl-Heinz Bruck,Westfalen,No,NULL,NULL,2016,2024
Flash Gordon HF,I-2,No,1118740,Falsterbo,Baroncelli,USA,Lisa Thompson Smith,Hanoverian,No,NULL,NULL,2016,2024
Joppe K,Grand Prix,Yes,1140163,Rousseau,Santano,Netherlands,J.H. Kamperman,KWPN,No,NULL,69.493,2020,2024
Baltasar De Ymas,Grand Prix,Yes,1140298,Vitalis,Superior II,Spain,Yeguada de Ymas,Caballo de Deporte Espanol,No,NULL,66.509,2020,2024
Fortunata,Prix St. Georges,No,1142211,Franziskus,Sandro Hit,Germany,NULL,Oldenburg,No,NULL,NULL,2020,2022
Justice OF,FEI 6 Year Old,No,1130400,UB 40,Sir Sinclair,USA,Terry Long,KWPN,No,NULL,NULL,2018,2020
Hermes BRH,I-2,No,1140899,Trajano IV,Martelillo IV,Spain,Yeguada Benito Rodriguez E Hijos,PRE,No,NULL,NULL,2020,2024
Absolute Dream,Grand Prix,No,1131055,All At Once,Furst Piccolo,Germany,Josef Pruesener,Westfalen,No,NULL,66.091,2018,2024
Julinda M,Prix St. Georges,No,1130201,Dundee M,Gribaldi,Netherlands,C.F. Van Mook,KWPN,No,NULL,NULL,2018,2023
Dark Knight,I-1,Yes,1141559,Danciano,Sandro Hit,Germany,Eggerk Groenwold,Hanoverian,No,NULL,NULL,2020,2022
Sijam,Prix St. Georges,No,1137199,San Amour,Welt Hit II,Germany,Heinz Lampe,Oldenburg,No,NULL,NULL,2019,2024
Jackpot Royal,Fourth Level,No,1141986,Apache,Rubin Royal,Netherlands,E F X Brittijn,KWPN,No,NULL,NULL,2020,2023
Easy Di Fonteabeti Ymas,FEI 5 Year Old,No,1139466,Grand Galaxy Win,Rubinstein,Italy,Antonella Luisa,Rhinelander,No,NULL,NULL,2020,2020
Lovely Leni,Third Level,No,1141080,Livaldon,Floriscount,Germany,Dieter Kreyhagen,Hanoverian,No,NULL,NULL,2020,2022
Dionysus MF,Third Level,No,1114505,Doctor Wendell MF,Rotspon,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2019,2021
Kiriska,FEI 5 Year Old,No,1132866,Jazz,Rhodium,USA,Gail Atkins,KWPN,No,NULL,NULL,2020,2020
Furstenbelle,Third Level,No,1131180,Furstenball,Michellino,USA,Lauren Efford,Danish Warmblood,No,NULL,NULL,2019,2022
Kyro,I-2,No,1133080,Glamourdale,Jazz,Netherlands,J. Hermanussen,KWPN,No,NULL,NULL,2019,2024
Kayla,Prix St. Georges,No,1140885,Ferdeaux,Metall,Netherlands,NULL,KWPN,No,NULL,NULL,2020,2024
Shanahan,I-1,Yes,1141367,Sir Gregory,Weltbekannt,USA,Bridget Hay,Oldenburg,No,NULL,NULL,2020,2024
Kayman,I-1,No,1135697,Damon Hill,Amati,Germany,Karl Heinz Knoop,KWPN,No,NULL,NULL,2019,2024
Ynze fan Vels,Prix St. Georges,No,1138055,Hessel 480,Wicher 334,Netherlands,H J Vels Lankderdijk,Friesian,No,NULL,NULL,2019,2024
Gjenganger,FEI 6 Year Old,No,1137970,Grand Galaxy Win,Don Schufro,USA,Alice Tarjan,Danish Warmblood,No,NULL,NULL,2020,2022
Glory Day,Grand Prix,Yes,1141214,Grand Galaxy Win,Deemster,Norway,JJ Horses,Danish Warmblood,No,NULL,NULL,2020,2024
Flambeau,FEI 5 Year Old,No,1141983,Furstenball,Zack,Norway,Gjeteruds Stutteri,Danish Warmblood,No,NULL,NULL,2020,2021
MW Bodacious,FEI 5 Year Old,No,1121957,Borsalino,Rohdiamant,USA,Christine Miller,Oldenburg,No,NULL,NULL,2020,2021
Lalique,USEF 4 Year Old,No,1141989,Eye Catcher,Moreno,Netherlands,A. De Baere,KWPN,No,NULL,NULL,2020,2020
Saladine STC,I-1,No,1141692,Sir Gregory,Royal Prince,USA,Laura Lee Beetle,Hanoverian,No,NULL,NULL,2020,2024
Lyamora,USEF 4 Year Old,No,1141174,Ferguson,Contango,Netherlands,K. Anthonie,KWPN,No,NULL,NULL,2020,2020
San Sebastian,Prix St. Georges,No,1140396,Sandbrink,San Amour,Germany,Stall Sathalla AB,Oldenburg,No,NULL,NULL,2020,2023
Floyd EDI,Third Level,No,1141520,Floriscount,Furst Heinrich,Germany,Wiebke Tobaben,Hanoverian,No,NULL,NULL,2020,2023
Lucian BHS,First Level,No,1141781,Special D,Carlton Hill VDL,USA,Justine Wilson and Michael Rub,KWPN,No,NULL,NULL,2020,2021
Rowena SW,Third Level,No,1141884,Skovens Rafael,Opus,USA,Kate Fleming-Kuhn,Swedish Warmblood,No,NULL,NULL,2020,2024
MW Weissgold,Prix St. Georges,No,1141945,Grey Flanell,Sir Donnerhall I,USA,Jennifer Vanover,Oldenburg,No,NULL,NULL,2020,2024
Liang,I-1,No,1141874,Guardian S,Florencio I,Netherlands,M.L.F.A. Van Gaal,KWPN,No,NULL,NULL,2020,2024
Bedelia,Fourth Level,No,1142095,Bon Coeur,Weltbekannt,USA,Bridget Hay,Oldenburg,No,NULL,NULL,2020,2022
Leanora AOF,USEF 4 Year Old,No,1141823,Landkoenig,Apiro,USA,Daphne Stapleton,Westfalen,No,NULL,NULL,2020,2021
Paxton,Grand Prix,Yes,1134356,Dante Weltino,Don Marco,Germany,Herbert de Baey,Westfalen,No,NULL,70.203,2019,2024
Guernsey Elvis,Grand Prix,Yes,1134641,Querly Elvis,Zadok,Netherlands,A.J. Bosman,KWPN,No,NULL,66.801,2019,2024
Tokayer,Grand Prix,Yes,1116784,Tokio,Sir Donnerhall I,Germany,Ulf Toenjes,Oldenburg,No,NULL,65.983,2017,2024
RS Damon,Grand Prix,Yes,1137137,Birkhof's Don Diamond,Metteur,Germany,Elke Salden,Wurttemberg,No,NULL,64.973,2019,2024
Fortissimo SQF,Grand Prix,No,1116892,For Compliment,Rotspon,USA,Star Quarry Farm,Hanoverian,No,NULL,63.662,2015,2024
Ramora CF,Grand Prix,No,1099508,Royal Prince,Davignon I,USA,Kimberly Kobryn-Callaway,Hanoverian,No,NULL,65.817,2018,2024
Nikolas,Grand Prix,Yes,1106138,Novalis T,Merkeur,Germany,Ingrid Schmidt,German Riding Pony,No,NULL,63.755,2014,2024
I Felix,I-2,Yes,1126961,Fidertanz,UB 40,USA,Natalie Hinnemann,KWPN,No,NULL,NULL,2017,2024
Florisson,Grand Prix,No,1123137,Floriscount,Johnson,Germany,Nicole Wanning,Oldenburg,No,NULL,67.072,2017,2024
Ballando,Grand Prix,No,1144296,Benicio,Le Primeur,Germany,Hermann-Juergen Rump,Hanoverian,No,NULL,66.993,2021,2024
Belloona,Grand Prix,Yes,1129997,Belissimo M,Wolkenstein II,Germany,Dr. Roland Wuenschel,Oldenburg,No,NULL,65.957,2019,2024
Ichiban,Grand Prix,Yes,1128125,Apache,Scandic,Netherlands,J.W.P. Thijssen,KWPN,No,NULL,66.005,2017,2024
Atterupgaards Belafonte,I-1,Yes,1145410,Belissimo M,Donnerhall,Denmark,Atterupgaard,Danish Warmblood,No,NULL,NULL,2021,2024
Sonata MF,Grand Prix,Yes,1114533,Sir Donnerhall I,Don Principe,USA,Maryanna Haymon,Hanoverian,No,NULL,69.229,2019,2024
Delilah,I-1,Yes,1135525,Dr. Watson,Wolkenstein,Germany,Hans-Heinrich Plate,Hanoverian,No,NULL,NULL,2019,2024
San Raphaella LS,FEI 6 Year Old,No,1137953,Skovens Rafael,Sandro Hit,Canada,Christine Williams,Oldenburg,No,NULL,NULL,2020,2021
Fanta 4,I-1,No,1142361,Finest,Florencio II,Germany,Zuchthof Duevel,Hanoverian,No,NULL,NULL,2020,2024
Fellowship CCW,I-1,No,1137582,Follow Me,Sir Donnerhall I,USA,Amy Swerdlin,Oldenburg,No,NULL,NULL,2019,2024
Birdie 10,I-1,Yes,1145967,Birkhof's Zalando,Ron William,Germany,ZG Fendel,Deutches Sportpferd,No,NULL,NULL,2021,2023
Debonaire,I-1,No,1142355,Danciano,Contucci,USA,Teresa Tovrea,Oldenburg,No,NULL,NULL,2020,2024
Kolbaba,Prix St. Georges,No,1137344,Ferguson,Sandreo,Netherlands,JG Keijnemans-Bos,KWPN,No,NULL,NULL,2019,2024
Ayo Windberg,Third Level,No,1143213,Apache,Florencio I,Belgium,NULL,Oldenburg,No,NULL,NULL,2021,2021
Fuerte Ventura IR,I-2,No,1146964,Furstenball,Camus,Belgium,Keith Lobros,American Warmblood,No,NULL,NULL,2021,2024
Fairmont,Fourth Level,No,1142105,Floriscount,De Niro,Germany,NULL,Hanoverian,No,NULL,NULL,2020,2023
Vianne,Prix St. Georges,Yes,1140513,Vitalis,Ramiro's Bube,USA,Catherine Haddad Staller,Hanoverian,Yes,Paralympics,NULL,2020,2024
Mollegardens Fashion,FEI 7 Year Old,No,1144566,Florenz,L'Espoir,Denmark,Lone Christiansen,Danish Warmblood,No,NULL,NULL,2021,2023
Mani's Endeavor,I-1,Yes,1136141,Morricone,Foundation,Germany,Elizabeth Kapp,Hanoverian,No,NULL,NULL,2019,2024
Black Velvet,Fourth Level,No,1142069,Bon Coeur,Samarant,Germany,Willem Klausing,Hanoverian,No,NULL,NULL,2020,2024
La Formidable B,Fourth Level,No,1145812,Hitmaker,Treasure Z,Netherlands,Boeve Paardenhouderd,KWPN,No,NULL,NULL,2021,2024
Looney Tunes,Prix St. Georges,No,1144914,Governor,Sir Sinclair,Netherlands,M. Andeweg,KWPN,No,NULL,NULL,2021,2024
Talladega B,I-1,No,1139633,Talisman,Furst Nymphenburg,Germany,Tina Engelhardt,Hanoverian,No,NULL,NULL,2020,2024
Qunique N,Prix St. Georges,No,1140925,Quaterback,Walldorf,USA,Christine Noelting,Hanoverian,No,NULL,NULL,2020,2024
Fontenay,FEI 6 Year Old,No,1147538,Furst Jazz,Don Frederico,Germany,Marion Meyer-Rosenmeier,Hanoverian,No,NULL,NULL,2021,2023
Ierland's Eden,FEI 5 Year Old,No,1144998,Ierland,Krack C,Denmark,Nedergaard Dressage,Oldenburg,No,NULL,NULL,2021,2022
MW Furstencharmant,FEI 7 Year Old,No,1133722,Furstenball,Sir Donnerhall I,USA,Jennifer Vanover,Oldenburg,No,NULL,NULL,2021,2024
It's Showtime,Fourth Level,No,1146272,It's A Pleasure,Uphill,Netherlands,R. van Wolfswinkel,KWPN,No,NULL,NULL,2021,2024
Dante Rubin M.R.,Prix St. Georges,No,1146715,Dante Weltino,Rubin Cortes,Germany,NULL,Oldenburg,No,NULL,NULL,2021,2024
Maximus,FEI 5 Year Old,No,1147948,Ibiza,Apache,Netherlands,Ad Valk Dressage Horses,KWPN,No,NULL,NULL,2021,2022
Manhattan,Third Level,No,1145798,Governor,United,NULL,NULL,KWPN,No,NULL,NULL,2021,2023
MW Marcario,Prix St. Georges,No,1142119,Morricone,San Amour,USA,Jennifer Vanover,Oldenburg,No,NULL,NULL,2021,2024
Materos JV,USEF 4 Year Old,No,1143851,High Five U.S.,Krack C,Netherlands,NULL,KWPN,No,NULL,NULL,2021,2021
Saint de Luce,FEI 5 Year Old,No,1144881,St. Schufro,Franziskus,USA,Carol Reid,Swedish Warmblood,No,NULL,NULL,2021,2024
Mojito,Fourth Level,No,1145237,Grand Galaxy Win,Rohdiamant,Belgium,A. De Baere,KWPN,No,NULL,NULL,2021,2024
Fiorenza,Prix St. Georges,No,1146265,Furstenball,Diomedes,Germany,Margaret Mueller,Oldenburg,No,NULL,NULL,2021,2024
Revanali YF,First Level,No,1145338,Revolution,Furst Heinrich,USA,Judy Yancey,Oldenburg,No,NULL,NULL,2021,2021
Duke of Tryon,Third Level,No,1131151,De Niro,Furstenball,USA,Oak Hill Ranch,Oldenburg,No,NULL,NULL,2020,2023
Don Hannes,Prix St. Georges,No,1146255,Don Romanov,Wanderbursch,Germany,Oliver Wauro,Hanoverian,No,NULL,NULL,2021,2024
Harrold S,Grand Prix,Yes,1125222,Vivaldi,Fidermark,Netherlands,Stoeterij Sollenburg,KWPN,No,NULL,69.104,2017,2023
Jane,Grand Prix,Yes,1130478,Desperado,Metall,Netherlands,H.J. Van Oort,KWPN,Yes,Olympic Games,70.878,2018,2024
Vamos,Grand Prix,Yes,1135488,Vivaldi,Insterburg TSF,Germany,Norbert Borgmann,Westfalen,No,NULL,67.035,2021,2024
Amillion FS,I-2,No,1149691,Ampere,Warsteiner,Sweden,Frykens Sporthastar HB,Swedish Warmblood,No,NULL,NULL,2022,2024
Johnny Be Goode,I-1,No,1142011,Dream Boy,Tietse 428,Netherlands,Trea Mulder-Dolsma,KWPN,No,NULL,NULL,2021,2023
Iron Lady,I-1,No,1141001,Dream Boy,Jazz,Netherlands,W. Den Besten,KWPN,No,NULL,NULL,2020,2024
Inigo Montoya,I-1,No,1124615,UB 40,Martini,USA,Megan Fischer-Graham,KWPN,No,NULL,NULL,2017,2023
Incredible Jacky,I-2,No,1136100,Jack Sparrow,Lord Sinclair I,Netherlands,President Investments,KWPN,No,NULL,NULL,2019,2023
Zaphira,Prix St. Georges,No,1134154,Zack,Don Romantic,Denmark,Mathias Victor Kruse,Danish Warmblood,No,NULL,NULL,2021,2022
King's Pleasure,I-1,Yes,1149631,Dark Pleasure,Johnson,Netherlands,W.L. PLaizier,KWPN,No,NULL,NULL,2022,2024
Fade to Black,I-1,Yes,1150968,Fantastic,St. Moritz,Germany,Dr. Christina Beuke,Hanoverian,No,NULL,NULL,2022,2024
Olympic Star M.R.,Grand Prix,No,1144490,Don Olymbrio,Stedinger,Denmark,Louise Lundgaard Nissen,Danish Warmblood,No,NULL,64.088,2021,2024
Nova,Grand Prix,Yes,1152137,Grand Galaxy Win,Romanov,Denmark,Helgstrand Dressage,Oldenburg,No,NULL,67.978,2022,2024
Vioretta,I-2,No,1150417,Vivaldi,Don Schufro,Germany,Gestut Lewitz,Oldenburg,No,NULL,NULL,2022,2024
Kensington,I-1,No,1142405,Galandro,Special D,Netherlands,J. Hamstra-Boksma,KWPN,No,NULL,NULL,2020,2024
Gold Play,Grand Prix,Yes,1141984,Grey Flanell,Sir Donnerhall II,Germany,Janne Schaefer,Oldenburg,No,NULL,71.63,2021,2024
Karamba,I-1,No,1144091,Apache,Florencio II,Netherlands,Patty Zwang,KWPN,No,NULL,NULL,2021,2024
Lionell VE,FEI 7 Year Old,No,1149470,Negro,Tenerife VDL,Netherlands,Van Erp Sporthorses,KWPN,No,NULL,NULL,2022,2023
Lion Heart,Prix St. Georges,No,1148679,Grand Galaxy Win,Special D,Netherlands,H.P. Cazemier,KWPN,No,NULL,NULL,2021,2024
Altitude's Sonegro PS,Prix St. Georges,No,1142746,Soiree d'Amour,Negro,Germany,Gestut Lewitz,Hanoverian,No,NULL,NULL,2020,2024
Leviathan,I-2,No,1140184,Desperado,Apache,Netherlands,M.Tijssen,KWPN,No,NULL,NULL,2020,2024
R U 4 Me,I-1,Yes,1132508,Rosenthal,Uphill,USA,Hannah Heritage,Oldenburg,No,NULL,NULL,2022,2024
Franzsis HSR,I-1,No,1141869,Franziskus,Sandro Hit,USA,Anita Nardine,Oldenburg,No,NULL,NULL,2020,2024
Bruce Springsteen MF,Prix St. Georges,No,1127216,Belantis,Don Principe,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2020,2023
Leeloo Dallas,I-1,Yes,1137768,Gaspard De La Nuit,Negro,USA,Racheal McKinney,KWPN,No,NULL,NULL,2020,2024
Valor,Fourth Level,No,1150257,Vitalis,Furstenball,Germany,Faltman-Austerschulte,Westfalen,No,NULL,NULL,2022,2024
MSJ For VIPs,Fourth Level,No,1151447,Foundation,Vivaldi,Great Britain,Emma Blundell,Oldenburg,No,NULL,NULL,2022,2024
Mondriaan Lynn,Third Level,No,1145535,Eye Catcher,Wynton,Netherlands,NULL,KWPN,No,NULL,NULL,2021,2024
Fernando,Third Level,No,1153073,For Romance,De Kooning,Germany,Hedda Ottman-Droege,Westfalen,No,NULL,NULL,2022,2024
Masterful Dream,Prix St. Georges,No,1144580,Everdale,Jazz,Canada,Marie-Josee Proulx,KWPN,No,NULL,NULL,2021,2024
Mulana,Prix St. Georges,No,1150315,Imagine,Ampere,Netherlands,C. Twint,KWPN,No,NULL,NULL,2022,2024
Furst Dream,FEI 6 Year Old,No,1150621,Furstenball,Benetton Dream,Germany,Ralf-Peter Lehmann,Hanoverian,No,NULL,NULL,2022,2024
Ice Princess,FEI 5 Year Old,No,1149572,Ibiza,Don Schufro,Denmark,Nedergaard Dressage,Oldenburg,No,NULL,NULL,2022,2023
For Edition,Third Level,No,1151702,For Gold,Furstenball,Germany,Thomas Friedhoff,Westfalen,No,NULL,NULL,2022,2024
Nobility LH,Third Level,No,1152018,Incognito,Rubiquil,Netherlands,J.W.E. Steevensz,KWPN,No,NULL,NULL,2022,2024
Superior 9,FEI 5 Year Old,No,1152807,Sensation,Licosto,Germany,NULL,Rhinelander,No,NULL,NULL,2022,2023
Vholt,Third Level,No,1151288,Vitalis,Romanov,USA,Maurine Swanson,Oldenburg,No,NULL,NULL,2022,2024
Baileys H,Second Level,No,1151914,Benicio,Dancier,Germany,ZG Harms,Hanoverian,No,NULL,NULL,2022,2023
Candoit's Secret Weapon,Second Level,No,1149964,Secret,Ampere,Germany,Heinrich Ramsbrock,Hanoverian,No,NULL,NULL,2022,2024
Donosti M.R.,Third Level,No,1150795,Diamond Hit,De Niro,Germany,Ewald Grotelueschen,Oldenburg,No,NULL,NULL,2022,2024
Niro M,Second Level,No,1152017,Painted Black,Ed King Hill,Netherlands,G.J. Meyer,KWPN,No,NULL,NULL,2022,2023
Sir Real,Third Level,No,1152610,Sir Donnerhall I,Furst Heinrich,Germany,Cathrin Schlemper,Oldenburg,No,NULL,NULL,2022,2024
MSJ Simon Sez,Second Level,No,1146580,Sezuan,Sandro Hit,Great Britain,Emma Blundell,Oldenburg,No,NULL,NULL,2022,2024
Fantastic M.R.,Third Level,No,1150825,Furstenball,Sandro Hit,Germany,Emese Vagi,Oldenburg,No,NULL,NULL,2022,2024
Inxs,Grand Prix,Yes,1123886,Everdale,Rousseau,Netherlands,J.A.M. Der Horst-Meeus,KWPN,No,NULL,69.37,2017,2024
Destar,I-2,Yes,1150126,Descolari,Quaterback,Germany,Jessica Guehne,Deutches Sportpferd,No,NULL,NULL,2022,2023
Tripple X,Grand Prix,Yes,1150140,Totilas,Sandro Hit,Germany,Dr. Jobst Hartmann,Oldenburg,No,NULL,68.043,2022,2024
Sonnenberg's Jersey,I-1,Yes,1158661,Vivaldi,Ferro,Netherlands,M.A. Van De Goor,KWPN,No,NULL,NULL,2023,2024
Gremlin 41,I-1,Yes,1150546,Grey Flanell,Donnerschwee,Germany,Andrea Graefin von Merveldt,Oldenburg,No,NULL,NULL,2022,2024
Runehojs Shiva,I-1,No,1151430,Sir Donnerhall II,Induc,Denmark,Birgitte Thomas and Sten Andersen,Danish Warmblood,No,NULL,NULL,2022,2024
Jim,I-2,No,1129586,Ferdeaux,Spielberg,Netherlands,A.Soethout,KWPN,No,NULL,NULL,2019,2024
Furst Romanov,I-2,Yes,1144894,First Choice,Romanov,Denmark,Inge Bastian,Oldenburg,No,NULL,NULL,2021,2024
Giovanni-Bell,Prix St. Georges,No,1157255,Grand Galaxy Win,Maat I,Denmark,Tina Jepsen,Danish Warmblood,No,NULL,NULL,2023,2024
S Express,I-2,Yes,1158953,Sezuan,Sir Donnerhall I,Germany,Cathrin Schlemper,Westfalen,No,NULL,NULL,2024,2024
Der Fiete,Grand Prix,Yes,1140436,Dubarry,Werther,Germany,Dagmar Meyer,Hanoverian,No,NULL,65.032,2020,2024
Gorgeous Latino,Prix St. Georges,No,1148155,Toto Jr,Rubiquil,Netherlands,Stal Hexagon,KWPN,No,NULL,NULL,2022,2024
Lord Hennessy,Prix St. Georges,No,1142015,Hennessy,Santano,Netherlands,J.H. Kamperman,KWPN,No,NULL,NULL,2020,2024
Lion King,FEI 7 Year Old,No,1156750,Grand Galaxy Win,Quaterback,Belgium,Stall Witte B.V,Belgian Warmblood,No,NULL,NULL,2023,2023
L Primo DG,Fourth Level,No,1144607,Bordeaux,Contango,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2021,2024
Luck Pleasure D,Prix St. Georges,No,1155972,Dark Pleasure,Contango,Netherlands,J. Dielissen and H. Dielissen-vd Berg,KWPN,No,NULL,NULL,2022,2024
Winterfel,Prix St. Georges,No,1146047,WakeUp,Contango,USA,Jana Wagner,American Warmblood,No,NULL,NULL,2021,2024
Legatus SDM,Prix St. Georges,No,1150451,Chagall,Redford,Netherlands,Stoeterij De Middenweg,KWPN,No,NULL,NULL,2023,2024
Lets Dance,Prix St. Georges,No,1149963,Guardian S,Tuschinski,Netherlands,J. Gloudemans,KWPN,No,NULL,NULL,2021,2024
Quilana CF,I-1,No,1149108,Qredit Hilltop,Royal Prince,USA,Kimberly Kobryn-Callaway,Hanoverian,No,NULL,NULL,2021,2024
G.Q.,FEI 7 Year Old,No,1156045,Grand Galaxy Win,Florencio I,Denmark,Lone Sorensen,Danish Warmblood,No,NULL,NULL,2023,2024
Maebria DG,Fourth Level,No,1145363,Totilas,Idocus,USA,Natalie Bryant and DG Bar Ranch,KWPN,No,NULL,NULL,2021,2024
Franeur,FEI 6 Year Old,No,1157781,Furstenball,Quadroneur,Germany,A. Wieghaus-Vorwerk,Oldenburg,No,NULL,NULL,2023,2023
